#,n,l,m,f.mean,f.sdev
#,u0: 37289.47137978341,type: wavelet,uMax: 37289.47137978341,nMax: 0,ellMax: 0
,75,0,0,6.213175461787263e-05,5.402426049782314e-06
,76,0,0,3.917257925411128e-05,4.444045052952243e-06
,77,0,0,6.230744081895463e-06,4.903082815635826e-06
,78,0,0,-5.485160007272249e-06,4.7947896044398915e-06
,79,0,0,2.9455369633881183e-05,4.745498233658284e-06
,80,0,0,6.164233609953128e-05,4.374690163410866e-06
,81,0,0,6.351644485398205e-05,3.546684482797328e-06
,82,0,0,4.507283773092066e-05,2.761521089039611e-06
,83,0,0,3.329361408549691e-05,2.217282471886721e-06
,84,0,0,2.3709147834443525e-05,1.9983426932987034e-06
,85,0,0,2.1332658914268205e-05,1.5463863144461651e-06
,86,0,0,9.697531494462183e-06,1.1863499344541154e-06
,87,0,0,-2.7234775171645844e-06,1.1182545732678975e-06
,88,0,0,-2.9923642864882914e-06,1.2747096243567987e-06
,89,0,0,5.616765935657924e-06,1.2522243454268281e-06
,90,0,0,5.552424210936483e-06,1.041329919754959e-06
,91,0,0,6.863370492745754e-06,8.96104765594202e-07
,92,0,0,7.770992192703047e-06,7.755508319745084e-07
,93,0,0,9.73534776562683e-06,6.012574994928595e-07
,94,0,0,2.7986792108819474e-06,4.3935270171409936e-07
,95,0,0,4.1808428763887517e-07,3.939093467277215e-07
,0,2,0,6.806234222006732e-05,5.921792091800331e-07
,1,2,0,0.0002362443244704567,1.6704071342323142e-06
,2,2,0,0.0012711411131789917,3.4412830478449315e-06
,3,2,0,-1.9618466048719755e-05,2.522564999770598e-07
,4,2,0,0.0027125992656156306,3.6676735212068506e-06
,5,2,0,-0.0001799691166229351,1.6640537666898565e-06
,6,2,0,-1.7204204968528265e-05,3.488863412911128e-07
,7,2,0,-1.4296824566037057e-06,1.2254946574920373e-07
,8,2,0,0.0007556902144734637,2.5224065175756262e-06
,9,2,0,0.0011967616735128483,4.636976255158087e-06
,10,2,0,-0.0002937007668191225,2.422945968291264e-06
,11,2,0,-6.994968579077744e-05,1.0108732637324112e-06
,12,2,0,1.1294009935810632e-06,4.571056244811076e-07
,13,2,0,1.2937536298515201e-05,2.3607026519352268e-07
,14,2,0,3.1253297780220794e-06,1.4111129484629214e-07
,15,2,0,-3.602762859833199e-06,9.688073797185357e-08
,16,2,0,2.1401281394525513e-05,1.2871178008851455e-06
,17,2,0,-0.0013024239856384218,3.659266706593107e-06
,18,2,0,0.000900489387905349,5.562428268613525e-06
,19,2,0,0.00027207004215573324,3.887644590986939e-06
,20,2,0,-0.00017581015112624228,3.0066518837201317e-06
,21,2,0,5.118537424948064e-06,1.3654767039502966e-06
,22,2,0,1.7750327377981418e-05,1.14524238422199e-06
,23,2,0,-8.523627738358464e-06,6.322789750859641e-07
,24,2,0,1.793386933380078e-05,4.870584170860643e-07
,25,2,0,-7.853356282267551e-06,3.60288479526865e-07
,26,2,0,8.56511602635006e-06,2.315490113032572e-07
,27,2,0,-7.495843279000386e-07,2.2835196174674318e-07
,28,2,0,-1.909246400692453e-06,1.5008211378477025e-07
,29,2,0,7.938573645758622e-06,1.3342301840190679e-07
,30,2,0,-2.958742450774526e-06,1.1278908229257828e-07
,31,2,0,2.343955485356098e-06,7.906729575273559e-08
,32,2,0,-0.0001578219396630037,5.532780033246856e-07
,33,2,0,0.0004945788273397914,3.036926953419421e-06
,34,2,0,-0.00011058977392257595,2.2405223189335563e-06
,35,2,0,-0.0002149291793338481,7.448750293359773e-06
,36,2,0,0.0007826781583300351,7.596047043508771e-06
,37,2,0,-1.0022832514189307e-06,4.252797679066981e-06
,38,2,0,0.000207516636074828,4.608721252486167e-06
,39,2,0,-2.5136223914265477e-05,4.300859996037679e-06
,40,2,0,-6.21610659757862e-05,4.134520188876118e-06
,41,2,0,-6.51491931912118e-05,2.382882033696436e-06
,42,2,0,-1.4655466375841706e-05,1.8052048996302732e-06
,43,2,0,-1.678261148537338e-07,1.1591418185917638e-06
,44,2,0,2.3857688680175914e-05,1.4459547908836308e-06
,45,2,0,-1.87897051141395e-05,1.0779129184822503e-06
,46,2,0,-5.0751457548938684e-06,8.210327956155208e-07
,47,2,0,-5.838874593089388e-06,4.98628770120286e-07
,48,2,0,9.492322511399466e-06,5.243354541613066e-07
,49,2,0,-6.96380222611525e-07,5.215113004449871e-07
,50,2,0,1.3768037192184097e-06,5.055143250617176e-07
,51,2,0,-7.582578794425915e-06,3.291353578510782e-07
,52,2,0,4.912079484550118e-07,2.4381604958752475e-07
,53,2,0,3.2065091069449274e-06,2.1688335973445078e-07
,54,2,0,1.7494354276289656e-06,2.9479526539157745e-07
,55,2,0,-2.699063902443309e-06,2.291964063346902e-07
,56,2,0,-8.04771996375407e-07,1.8173219929961703e-07
,57,2,0,-1.3302292013581623e-06,1.1983063925363787e-07
,58,2,0,2.317775842577388e-06,1.356534286998448e-07
,59,2,0,1.645671641333186e-06,1.55675797888048e-07
,60,2,0,-2.2981309031785817e-06,1.6198632606116822e-07
,61,2,0,-7.050351601458168e-07,9.08533322448948e-08
,62,2,0,-7.356028365918417e-09,8.91637896328517e-08
,63,2,0,5.831833926813646e-07,7.693902522905695e-08
,64,2,0,-2.1982306725835188e-05,1.0374513501573996e-07
,65,2,0,-0.00011601425912207984,1.3851762270667055e-06
,66,2,0,4.705966571463913e-05,3.096452390584651e-06
,67,2,0,0.00029816619298045046,2.9090976378435504e-06
,68,2,0,0.000156528438520209,1.7109879555461987e-06
,69,2,0,-0.00023357895974145674,2.3041833638033678e-06
,70,2,0,-0.0002566542756811369,5.786402441908059e-06
,71,2,0,0.0001167146223409255,8.987216643163567e-06
,72,2,0,0.0003308734332745525,8.328483837047954e-06
,73,2,0,0.00017895957960766408,6.235825427371078e-06
,74,2,0,9.84692259905473e-06,3.830990448201138e-06
,75,2,0,5.17431947884632e-06,4.3531799619038415e-06
,76,2,0,6.54072086640727e-05,3.771570390735707e-06
,77,2,0,5.893826594292435e-05,3.864437654814317e-06
,78,2,0,1.1973430243281542e-05,3.3076548861607378e-06
,79,2,0,-2.1421754067048614e-05,3.819835437644971e-06
,80,2,0,-2.8220936340335505e-05,3.6313312497482435e-06
,81,2,0,-1.8180535410249412e-05,2.9833246071011233e-06
,82,2,0,-2.385022386164886e-05,2.266076007643737e-06
,83,2,0,-2.5862955271002943e-05,2.0570428222961016e-06
,84,2,0,-1.3380633009032436e-05,1.7514083495234312e-06
,85,2,0,4.725887782373723e-06,1.394348830683235e-06
,86,2,0,1.7055945430145262e-06,1.027816437660386e-06
,87,2,0,-1.8240795913986571e-06,1.0746734895560112e-06
,88,2,0,7.32692348135939e-06,1.3703109561680562e-06
,89,2,0,1.2382233895921939e-05,1.395402947533306e-06
